videoId,channel,authorID,commentID,publishedAt,isReply,cleaned_comment,comment_length,cluster_label,umap_embedding,cluster_topic
V2MAnNgO61A,NewYorkTimes,6224,7999,11/5/24 17:32,FALSE,the people have her back keep kamala and carry onala,10,11,"[5.714537620544434, 9.116022109985352, -1.0682569742202759, 11.685068130493164, 8.621373176574707]",Democracy
V2MAnNgO61A,NewYorkTimes,3285,116,11/3/24 17:41,FALSE,3,1,5,"[8.009818077087402, 10.666450500488281, 0.49787530303001404, 9.618741989135742, 8.484359741210938]",Democracy
V2MAnNgO61A,NewYorkTimes,2634,7693,11/3/24 22:51,TRUE,thats because no presidential candidate has played so many games to stay in power like that in the history of our country obiden was a disgrace and cumala was placed there when nobody wanted her she is always gonna be the alternative to orangeman bad because media said so trump 2024,51,11,"[5.915017127990723, 9.668425559997559, -1.1336153745651245, 11.63810920715332, 8.5614013671875]",Democracy
V2MAnNgO61A,NewYorkTimes,5264,1522,11/3/24 19:44,TRUE,6287 true i experience this a lot as a photographer its a careful balance of reaching your audience while still presenting your photos in a consumable way,27,5,"[8.283324241638184, 10.869939804077148, 0.1732805222272873, 9.981925010681152, 8.494343757629395]",Democracy
V2MAnNgO61A,NewYorkTimes,5901,3553,11/2/24 20:25,FALSE,even in the photo of the trial which was designed to blacken him out for viewers he looks more alive and authentic than kamala,24,11,"[5.628046035766602, 9.528148651123047, -1.0917054414749146, 11.572436332702637, 8.686718940734863]",Democracy
V2MAnNgO61A,NewYorkTimes,1503,6730,11/3/24 0:02,TRUE,please notice he was there as a defendant not as a prosecutor isnt it interesting that there is a clear path of documents and money between trump and ms daniels he says he never had anything to do with her why giving her money then unless people believe that michael cohen gave her money out of the goodness of his heart which was debunked by giuliani theres no other reason but what she says it happened and evidence proved isnt it interesting that so many people dont realize that he paid her to look good before them that he lied to them most curious,104,11,"[6.048128604888916, 9.771355628967285, -1.1219215393066406, 11.853311538696289, 8.487001419067383]",Democracy
V2MAnNgO61A,NewYorkTimes,3515,4708,11/3/24 23:15,TRUE,i thought tds was supposed to be a democrat problem,10,42,"[7.117620944976807, 11.220990180969238, -0.9729489088058472, 12.003005027770996, 10.482308387756348]",Democracy
V2MAnNgO61A,NewYorkTimes,3467,161,11/2/24 20:15,FALSE,115 thats the goof to run the free world she couldnt change the oil in a car,17,5,"[7.667637825012207, 10.375511169433594, -0.30019956827163696, 10.802216529846191, 8.498612403869629]",Democracy
V2MAnNgO61A,NewYorkTimes,10,7554,11/2/24 20:14,FALSE,thank you for sharing these intimate moments of the candidates now we know shes nothing but an actress that matches her flipping flopping personality across her career,27,11,"[5.799391746520996, 9.41344165802002, -1.3045698404312134, 11.892057418823242, 8.551554679870605]",Democracy
V2MAnNgO61A,NewYorkTimes,5867,187,11/2/24 20:12,FALSE,240 im surprised they let erin anywhere near the vp with those guns,13,5,"[8.066951751708984, 10.458924293518066, -0.21431955695152283, 10.677793502807617, 8.663002967834473]",Democracy
V2MAnNgO61A,NewYorkTimes,4748,103,11/2/24 20:19,TRUE,trumpvance 2024 let the peoples voices be heard and god willing guide whomever becomes the next president of these united states towards doing what is truly best for the american peoples interest,32,49,"[6.840677738189697, 9.393777847290039, 0.2794620394706726, 11.242043495178223, 9.743002891540527]",Democracy
V2MAnNgO61A,NewYorkTimes,1605,11855,11/3/24 1:10,TRUE,vote for kamala harris and up and down the ballot we need to save our rights and democracy we want freedom and not a dictatorship,25,11,"[6.0552659034729, 9.318526268005371, -1.1685645580291748, 12.07758617401123, 8.776397705078125]",Democracy
V2MAnNgO61A,NewYorkTimes,2634,700,11/3/24 22:49,TRUE,missred92837 you dont care about the babys rightsvery contradictory of you,11,5,"[7.94946813583374, 10.514771461486816, 0.1733245700597763, 10.22923469543457, 8.663015365600586]",Democracy
V2MAnNgO61A,NewYorkTimes,746,5594,11/4/24 17:56,TRUE,kamala harris hasnt even had children naturally so what does she know about being a modern day mother or woman let alone representing the usa and theres something very false when billionaire pop singers endorse you what do they know about working 5days a week and paying tax,48,11,"[5.837789535522461, 9.375448226928711, -1.376869797706604, 12.054899215698242, 8.579408645629883]",Democracy
